Type,Price,Discount,Rating,Sold,Overseas
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,Rs. 350,No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,350",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,000",No discount,No rating,Not sold,Punjab
Bag,Rs. 699,No discount,No rating,Not sold,Punjab
Bag,Rs. 800,20% Off,106 sold,106 sold,Punjab
Bag,"Rs. 2,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,099",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,300",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,600",No discount,No rating,Not sold,Sindh
Bag,Rs. 435,33% Off,No rating,Not sold,Sindh
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,900",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,399",32% Off,586 sold,586 sold,Punjab
Bag,"Rs. 2,000",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,"Rs. 1,680",33% Off,107 sold,107 sold,Punjab
Bag,"Rs. 2,566",No discount,No rating,Not sold,Khyber Pakhtunkhwa
Bag,"Rs. 2,732",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,000",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,804",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,000",67% Off,No rating,Not sold,Sindh
Bag,"Rs. 2,350",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,600",No discount,No rating,Not sold,Sindh
Bag,"Rs. 3,153",9% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 2,100",No discount,No rating,Not sold,Punjab
Bag,"Rs. 5,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,650",25% Off,No rating,Not sold,Punjab
Bag,"Rs. 1,850",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,599",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,781",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,100",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,850",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,887",No discount,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 3,746",10% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,000",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,999",20% Off,8 sold,8 sold,Punjab
Bag,"Rs. 1,459",34% Off,No rating,Not sold,Sindh
Bag,Rs. 695,30% Off,No rating,Not sold,Sindh
Bag,"Rs. 2,732",9% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,733",9% Off,No rating,Not sold,Overseas
Bag,Rs. 799,18% Off,154 sold,154 sold,Sindh
Bag,"Rs. 1,200",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,000",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,999",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,799",44% Off,No rating,Not sold,Punjab
Bag,"Rs. 1,545",47% Off,No rating,Not sold,Sindh
Bag,"Rs. 4,598",No discount,No rating,Not sold,Khyber Pakhtunkhwa
Bag,"Rs. 1,099",73% Off,No rating,Not sold,Punjab
Bag,"Rs. 2,679",42% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,Rs. 699,No discount,187 sold,187 sold,Khyber Pakhtunkhwa
Bag,"Rs. 1,268",75% Off,87 sold,87 sold,Overseas
Bag,"Rs. 1,145",No discount,No rating,Not sold,Punjab
Bag,Rs. 648,No discount,5 sold,5 sold,Punjab
Bag,"Rs. 1,197",No discount,No rating,Not sold,Punjab
Bag,Rs. 349,30% Off,134 sold,134 sold,Sindh
Bag,"Rs. 1,150",8% Off,No rating,Not sold,Punjab
Bag,Rs. 699,7% Off,82 sold,82 sold,Sindh
Bag,"Rs. 1,147",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,680",33% Off,107 sold,107 sold,Punjab
Bag,"Rs. 1,143",No discount,No rating,Not sold,Punjab
Bag,Rs. 669,76% Off,14 sold,14 sold,Overseas
Bag,"Rs. 2,349",21% Off,270 sold,270 sold,Sindh
Bag,Rs. 745,75% Off,17 sold,17 sold,Overseas
Bag,Rs. 600,No discount,No rating,Not sold,Sindh
Bag,Rs. 499,No discount,No rating,Not sold,Islamabad
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,996",9% Off,No rating,Not sold,Overseas
Bag,Rs. 699,No discount,50 sold,50 sold,Khyber Pakhtunkhwa
Bag,"Rs. 2,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 5,099",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,690",23% Off,24 sold,24 sold,Sindh
Bag,"Rs. 2,199",19% Off,17 sold,17 sold,Sindh
Bag,"Rs. 1,500",No discount,No rating,Not sold,Punjab
Bag,Rs. 608,75% Off,64 sold,64 sold,Overseas
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,599",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,844",10% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,100",38% Off,No rating,Not sold,Sindh
Bag,Rs. 250,No discount,No rating,Not sold,Punjab
Bag,Rs. 749,50% Off,No rating,Not sold,Punjab
Bag,"Rs. 1,600",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,650",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,463",35% Off,No rating,Not sold,Khyber Pakhtunkhwa
Bag,"Rs. 3,247",9% Off,No rating,Not sold,Overseas
Bag,Rs. 865,34% Off,No rating,Not sold,Overseas
Bag,"Rs. 1,149",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,836",14% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,760",No discount,No rating,Not sold,Overseas
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,"Rs. 4,288",6% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,Rs. 599,No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,090",39% Off,382 sold,382 sold,Punjab
Bag,Rs. 449,36% Off,53 sold,53 sold,Punjab
Bag,Rs. 399,No discount,No rating,Not sold,Sindh
Bag,"Rs. 5,199",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,120",No discount,No rating,Not sold,Overseas
Bag,"Rs. 2,000",No discount,50 sold,50 sold,Punjab
Bag,"Rs. 1,599",35% Off,170 sold,170 sold,Punjab
Bag,"Rs. 1,499",25% Off,108 sold,108 sold,Punjab
Bag,"Rs. 1,680",33% Off,107 sold,107 sold,Punjab
Bag,"Rs. 1,599",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,149",39% Off,No rating,Not sold,Khyber Pakhtunkhwa
Bag,Rs. 749,6% Off,No rating,Not sold,Punjab
Bag,Rs. 399,33% Off,No rating,Not sold,Punjab
Bag,"Rs. 4,220",5% Off,No rating,Not sold,Overseas
Bag,"Rs. 2,349",21% Off,270 sold,270 sold,Sindh
Bag,"Rs. 2,699",No discount,98 sold,98 sold,Punjab
Bag,"Rs. 1,279",29% Off,987 sold,987 sold,Punjab
Bag,"Rs. 1,299",48% Off,No rating,Not sold,Sindh
Bag,"Rs. 1,100",63% Off,No rating,Not sold,Islamabad
Bag,"Rs. 2,500",No discount,No rating,Not sold,Punjab
Bag,Rs. 599,25% Off,5 sold,5 sold,Sindh
Bag,"Rs. 3,000",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,350",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,399",30% Off,No rating,Not sold,Punjab
Bag,"Rs. 2,999",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,800",No discount,No rating,Not sold,Punjab
Bag,Rs. 749,25% Off,6 sold,6 sold,Punjab
Bag,"Rs. 2,099",No discount,No rating,Not sold,Sindh
Bag,"Rs. 2,690",23% Off,24 sold,24 sold,Sindh
Bag,Rs. 399,No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,199",19% Off,17 sold,17 sold,Sindh
Bag,"Rs. 1,750",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,198",13% Off,32 sold,32 sold,Sindh
Bag,Rs. 999,33% Off,942 sold,942 sold,Punjab
Bag,"Rs. 2,200",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,000",No discount,No rating,Not sold,Sindh
Bag,Rs. 699,No discount,187 sold,187 sold,Khyber Pakhtunkhwa
Bag,Rs. 699,No discount,187 sold,187 sold,Khyber Pakhtunkhwa
Bag,"Rs. 3,550",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,575",21% Off,11 sold,11 sold,Sindh
Bag,Rs. 249,No discount,14 sold,14 sold,Sindh
Bag,Rs. 699,No discount,50 sold,50 sold,Khyber Pakhtunkhwa
Bag,"Rs. 1,500",No discount,No rating,Not sold,Punjab
Bag,"Rs. 3,640",8% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 3,156",No discount,No rating,Not sold,Overseas
Bag,Rs. 899,No discount,No rating,Not sold,Punjab
Bag,Rs. 695,30% Off,No rating,Not sold,Sindh
Bag,"Rs. 4,290",6% Off,No rating,Not sold,Federally Administered Tribal Areas
Bag,"Rs. 2,350",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,796",37% Off,No rating,Not sold,Overseas
Bag,Rs. 599,No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,999",33% Off,No rating,Not sold,Punjab
Bag,Rs. 999,29% Off,No rating,Not sold,Islamabad
Bag,"Rs. 1,999",33% Off,No rating,Not sold,Punjab
Bag,"Rs. 2,200",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,320",32% Off,No rating,Not sold,Overseas
Bag,"Rs. 3,250",19% Off,No rating,Not sold,Punjab
Bag,"Rs. 3,250",19% Off,No rating,Not sold,Punjab
Bag,"Rs. 1,999",33% Off,No rating,Not sold,Punjab
